职位名称,详细链接,公司名称,工作地点,薪资,发布时间,职位信息
Python开发工程师-财务报表平台,https://jobs.51job.com/beijing/120936463.html?s=01&t=0,字节跳动,北京,2-4万/月,03-26,"职位描述：
1、负责财务报表平台Python后端服务开发与维护；
2、负责高质量的设计和编码；承担重点、难点的技术攻坚；
3、负责推动、优化ETL技术体系、组件抽象，提升开发效率。
职位要求：
1、本科及以上学历，计算机等相关专业；
2、3年以上Python后端开发经验；
3、熟悉MySQL或NoSQL等常用储存方案及基本原理，能够合理设计数据库结构；
4、具有大数据存储和计算经验，了解或使用过hive，spark，hadoop，yarn，kafka等大数据存储与计算集群；
5、热爱技术，有较强的学习能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界最新的技术；
6、熟悉pandas等数据工具，有jupyter使用或运维经验docker等容器技术相关经验者优先。
职能类别：
软件工程师
微信分享"
Python开发工程师(中科实数）,https://jobs.51job.com/beijing-cyq/110777636.html?s=01&t=0,广州中国科学院软件应用技术研究所...,北京-朝阳区,0.8-1.6万/月,03-26,"岗位职责：
1 负责公司内部项目服务端的研发工作；
2 负责编写设计开发文档、设计手册、应用手册相关技术文档；
3 参与项目需求认证，设计。
    任职资格：
1 本科以上（211,985优先）学历，计算机相关专业，三年以上Python 开发经验；
2 熟悉Django/Tornado/Flask等web框架；熟悉HTTP网络协议；
3 了解Javaicript、HTML、CSS、AJAX、Jquery、Bootstrap等前端技术；
4 熟练PostgreSQL，Mysql数据库的使用设计、调优；
5 熟悉Linux下的常用命令;
6 熟悉Redis/Memcache等优先。


职能类别：
软件工程师
微信分享"
python开发工程师-北京,https://jobs.51job.com/beijing-hdq/120727547.html?s=01&t=0,中电福富信息科技有限公司,北京-海淀区,1-1.5万/月,03-26,"1、 功能型脚本开发、测试；
2、 功能型工具开发，基本使用python开发，封装为windows的可执行文件；
3、 基于云资源池实现网络设备、主机和存储设备的监控，及告警规则建立，及应对告警的初步自动化处理方案；
4、 自动化运维平台构建，整合Prometheus、elk、蓝鲸平台，初步构建适合云公司内部的人员使用的自动化平台。

任职资格：
1、 计算机、软件工程、通信工程等相关专业，本科及以上学历；
2、 2年以上基于Linux/Unix平台的系统运维或开发经验；
3、 熟练使用Linux下各种常用命令；
4、 能够独立编写shell、python等脚本；
5、 熟悉使用Python标准库和流行第三方库，有Django web开发框架使用经验；
6、 熟悉JavaScript语言，能使用JQuery + DIV + CSS完成相应WEB开发;
7、 思维清晰，优化代码，解决Bug，能够独立完成项目；
8、 熟悉主流服务器基于带外的管理和配置及自动化的信息提取；
9、 熟悉主流交换机配置，有实际操作经验***；
10、  熟悉软件开发流程、设计模式，具备一定的需求分析和系统设计的能力。
职能类别：
Python开发工程师
关键字：
python
微信分享"
Python工程师,https://jobs.51job.com/beijing/107487885.html?s=01&t=0,中包物联网科技（北京）有限公司,北京,7-12万/年,03-26,"岗位职责：
1、设计和建立物联网云平台和数据设施；
2、优化大数据处理算法及数据库性能，实现大数据的数据挖掘及AI算法；
3、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题；
4、同业务分析师和算法工程师协作，完成产品化落地；
5、参与软件工程文档、产品文档编写，满足质量要求；
6、做好模块集成、单元测试、模块测试及确认工作；
7、解决工程项目中遇到的问题，进行系统功能优化，安全等保证系统安全、稳定和快速运行；
任职要求：
1、全日制相关专业本科及以上学历，2年及以上相关工作经验；
2、掌握常见的Python框架，熟悉Flask、Numpy、Pandas
3、精通MySQL，熟悉关系型数据库，懂数据库配置、查询优化者优先；
4、熟练掌握Pycharm、SVN等常见工具；
4、熟悉Socket编程、HTTP、TCP协议等，有网络开发经验；
5、熟悉大数据量、高并发、高性能系统优化者优先；
6、熟悉XML、JSON、protobuf等数据封装方式
7、熟悉Linux常用命令，能独立完成Linux环境的搭建及应用的部署，熟悉Web容器性能调优，根据日志跟踪并定位问题。
8、能承受一定的工作压力，有责任心和上进心，能通过持续学习和完善自身，自信、有担当、执行力强、乐于分享;
9、有物联网、车联网、云计算项目开发经验者优先；
职能类别：
数据库工程师(DBA)软件工程师
关键字：
Python框架熟悉Flask精通MySQLSocket编程、HTTPXML
微信分享"
高级Python工程师,https://jobs.51job.com/beijing-cyq/120879071.html?s=01&t=0,北京荣之联科技股份有限公司,北京-朝阳区,2-3万/月,03-26,"1、计算机相关专业，本科及以上学历，10年以上爬虫相关工作经验； 
2、对爬虫编程有强烈爱好，熟练精通掌握至少1种语言java、python，在需要的情况下能快速上手新语言切换；
3、深入理解tpc/ip、http、以及web登录认证的机制，有成功破解复杂验证码的经验；
4、有通用分布式爬虫系统架构和开发经验，能快速部署新的爬虫应用；
5、已有5年以上网络爬虫或搜索引擎工作经验，参与过大规模数据爬虫优先考虑； 
6、有APP安全、逆向等领域的经验；
7、具有良好的沟通、团队协作、计划能力， 有过1-2人的团队管理经验；
8、熟练使用英语，能够进行日常沟通交流。
 资岗位职责：
1、建设完善分布式爬虫系统；
2、建立通用的爬虫框架，能够快速适应新的爬虫需求；
3、快速完成对目标资源的数据抓取、处理；
4、满足用户定制化要求，现场完成项目交付。
职能类别：
Python开发工程师
微信分享"
python少儿讲师,https://jobs.51job.com/beijing-dxq/120853221.html?s=01&t=0,达内时代科技集团有限公司,北京-大兴区,0.8-1.2万/月,03-26,"岗位职责：

1.      教授10岁以上孩子的python编程类课程

2.      负责指导学生完成课程内的项目制作

3.      录制青少年编程类视频课程

4.      协助课程顾问，与家长沟通学员上课情况与进度，对家长说明技术及课程内容，并给予合理建议

5.      配合公司完成其他交办工作

任职要求：

1.      统招本科以上学历，工作经验一年以上，有教育培训、早教、少儿编程教育、STEM、K12等工作经验者优先

2.      有教师资格证、师范类或计算机专业者优先

3.      熟练使用python语言，逻辑表达能力强

4.      热爱教育事业，喜欢小朋友，具有爱心和责任心

5.      具备良好的沟通能力讲解能力，口齿清楚，表达流利，较强的亲和力，形象气质佳，普通话标准

6.      愿意了解并熟悉少儿心理，熟悉小朋友的性格特点，调动学生的学习积极性

薪资待遇：

1.      科技前沿的学科，资本最火的朝阳行业少儿编程教育，国家大力提倡的少儿主力学科

2.      具备竞争性的薪资结构，标准的五险一金及额外的补充医疗保险

3.      团队核心骨干更可拿到上市公司具有长期更高收益的期权
职能类别：
讲师/助教软件工程师
关键字：
讲师python
微信分享"
Python开发工程师,https://jobs.51job.com/beijing-xcq/115334584.html?s=01&t=0,因诺（上海）资产管理有限公司,北京-西城区,1-2万/月,03-26,"【工作职责】
负责量化交易系统的前端设计和开发工作
负责我司相关运维平台设计和开发工作。
参与数据系统的开发；
参与公司策略盈亏分析系统的开发与维护；
【职位要求】
1、国内外计算机、电子、自动化等相关专业；
2、计算机编程能力强，精通Python语言，具有不低于一年的python实际项目经验。
3、熟练掌握Django等Python相关Web开发框架。
4、具有Linux系统环境下的开发经验，并具有编写Shell脚本的经验。
5、熟悉常见的关系型数据库如MySQL等，使用过版本控制工具Git；
6、心强，善于学习钻研，能够独立完成分配的开发工作；
7、交流能力强，善于团队协作；
【加分项】
1、有实际前端开发经验，熟悉CSS、JS、HTML等知识。
2、熟悉C++语言，并有过实际使用经历。
3、熟悉Restful协议，并具有实际开发经验。


职能类别：
软件工程师系统工程师
关键字：
PythonDjangoLinuxshellMySQLCSSJSc++
微信分享"
Python后端开发工程师,https://jobs.51job.com/beijing-cyq/107996008.html?s=01&t=0,乐荐信息科技（北京）有限公司,北京-朝阳区,1-2万/月,03-26,"工作职责:
(1) 与团队协同工作， 致力于Web应用及服务器端HTTP接口开发，构建高性能、高可用性的产品，服务以及支持系统；
(2) 你将完成程序编制及单元测试，并确保开发过程遵循公司的相关开发规范；
(3) 你将负责维护并升级完成的程序代码，因为需求会经常变更；
(4) 与产品及测试团队或其他需要你支持的部门保持良好的沟通；
(5) 我们可能需要你在压力下工作，以期保证产品服务的开发进度。

背景知识及技能要求:
(1) 熟悉Web应用程序体系结构(LAMP)；
(2) 具备深厚的面向对象编程经验；
(3) 精通基于Python Django的Web应用开发；
(4) 具备良好的面向对象程序设计基础；
(5) 熟悉HTTP协议、HTML规范，了解AJAX技术，深入了解HTML5的特性集；
(6) 精通基于JQuery的JavaScript程序；
(7) 熟悉MySQL / PostgreSQL数据库, 善用数据库建模工具进行数据库的设计；
(8) 熟悉Linux服务器系统环境，掌握必要的Unix Shell的用法；
(9) 熟悉Apache服务器的配置；
(10) 良好的代码书写规范。

我们找的就是你，致力于Web应用及服务器端HTTP接口开发，构建高性能、高可用性的产品，服务以及支持系统的你！加入乐荐，扶摇直上！
职能类别：
软件工程师
关键字：
PythonJavaScriptHTMLCSSLinuxWeb端DjangoGIT
微信分享"
Python中级开发工程师,https://jobs.51job.com/beijing-xcq/119756829.html?s=01&t=0,深圳市赢时胜信息技术股份有限公司...,北京-西城区,1-1.2万/月,03-26,"1、岗位职责
（1）全面、认真地理解系统需求和系统设计。
（2）对系统设计进行实现最后层次的细化工作。
（3）独立承担编制代码及代码的单元测试工作。
（4）负责解决开发中遇到的较复杂的技术难题和技术攻关。
（5）负责核心业务、公共组件等重要功能的编程实现。
（6）认真贯彻执行公司质量体系文件及其相关制度的管理要求。
（7）执行公司、中心各项管理制度、标准作业规程和操作规范，确保各项工作符合规范化要求。
2、任职要求
（1）计算机相关专业本科以上，从事开发5年以上，211以上学历优先。
（2）精通OO，AOP，设计模式，熟悉多线程并发，网络编程技术。
（3）精通python 技术栈，包括 pandas，numpy等，熟悉使用python进行数据处理。
（4）熟练使用Mysql、Oracle数据库，掌握sql语言规范，具有国产数据库、分布式数据经验者加分。
（5）有分布式开发经验、熟练使用分布式服务框架，消息中间件和分布式存储系统等。
（6）对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力。

职能类别：
Python开发工程师
关键字：
python软件开发
微信分享"
python开发,https://jobs.51job.com/beijing-cyq/117605888.html?s=01&t=0,深圳市捷兴电子商务有限公司,北京-朝阳区,2-3万/月,03-26,"工作职责：
      1. 负责公司devops平台的研发。
      2. 负责公司监控平台二次研发工作。
      3. 负责devops同k8s对接。
      职位要求：
      1. 熟悉python + django 框架。
      2. 熟悉vue， bootstrap, jquery，ajax等前端框架。
      3. 实施过devops平台 以及cmdb数据库的设计。
      4. 能够基于各种python开源框架做二次开发。
      5. 有reset api设计经验。
      6. 有k8s 运维经验优先。  
职能类别：
高级软件工程师软件工程师
关键字：
python开发
微信分享"
